razon,freq,tipo
abandono,1780,NO HABRÁN COBRADO Y POR ESO NO SABEMOS?
reingresable,445,despido
faltista,315,despido
horario,226,HORARIOS
recorte,207,despido
personal,195,despido
baja,153,despido
trabajar,145,despido
dias,144,
destajo,141,CAMBIO A DESTAJO
renuncia,132,renuncia
voluntaria,126,renuncia
regreso,111,despido
solo,107,renuncia
gusto,104,AMBIENTE
retiro,102,renuncia
voluntario,101,renuncia
queria,92,renuncia
dieron,90,renuncia
sueldo,90,SUELDO
semana,85,
banda,76,despido
problemas,74,PROBLEMAS PERSONALES
renuncio,67,
debe,65,
santa,62,
indisciplinado,57,despido
empresa,55,despido
dos,54,
despidieron,53,despido
dio,49,
cambio,46,CAMBIO DE BANDA
dejo,46,
nuevo,46,
pudo,45,
dijo,42,
tenia,41,
encontro,39,ENCONTRO OTRO TRABAJO
peleo,33,despido
despidio,32,despido
tarde,31,despido
dia,29,
hijo,28,TUVO HIJOS
bajo,27,
faltas,27,despido
sabe,27,
debiendo,26,
cambiaron,23,
ojo,22,
lento,21,despido
enfermo,20,
mala,20,despido
demando,19,despido
dic,19,
sistema,18,
puede,17,
estudiante,16,
mal,15,
casa,14,
estudiar,14,
flojo,14,
acabo,14,
cuide,13,
familiares,11,
iba,10,
entro,9,
fabrica,9,
pidio,9,
falto,9,
actitud,8,
habia,8,
indisciplina,8,
julio,8,
presion,8,
quiere,8,
planta,8,
despedido,7,
ganar,7,
nueva,7,
permiso,7,
problematico,7,
puesto,7,
venir,7,
calidad,6,
dentro,6,
acoplo,6,
enferma,5,
fumando,5,
hizo,5,
mismo,5,
